Date,Open,High,Low,Close,Adj Close,Volume
06-09-21,1579.949951,1580.949951,1561.949951,1565.699951,1547.704712,3938448
07-09-21,1562.5,1582,1555.199951,1569.25,1551.213989,3622748
08-09-21,1571.949951,1580.5,1565.599976,1576.400024,1558.28186,3362040
09-09-21,1574,1579.449951,1561,1568.599976,1550.571411,4125474
13-09-21,1562,1584,1553.650024,1555.550049,1537.671509,4479582
14-09-21,1560,1564.5,1546.599976,1548.550049,1530.751953,4879253
15-09-21,1535,1554.800049,1535,1546.800049,1529.022095,7411499
16-09-21,1537.75,1564.300049,1536.300049,1559.949951,1542.020874,5130275
17-09-21,1569,1589,1559.199951,1582.150024,1563.96582,7777777
20-09-21,1564,1581.699951,1558,1559.849976,1541.921997,4390805
21-09-21,1562,1568.650024,1528.949951,1551.949951,1534.112793,7387498
22-09-21,1549,1550.150024,1530,1533.699951,1516.07251,5291101
23-09-21,1542,1572,1542,1570,1551.955444,6832152
24-09-21,1579,1607.949951,1575,1601.550049,1583.142822,10403351
27-09-21,1615.699951,1635.5,1608,1625.099976,1606.422119,8207731
28-09-21,1632,1632,1582,1615.050049,1596.487671,6386895
29-09-21,1597,1606.599976,1585.150024,1593.849976,1575.53125,8131518
30-09-21,1586,1606.349976,1583.099976,1594.949951,1576.61853,7987674
01-10-21,1583,1589,1565.25,1582.699951,1564.509399,5564298
04-10-21,1589,1601.349976,1583.599976,1585.75,1567.524414,3525514
05-10-21,1592,1597.5,1576.25,1595.449951,1577.112793,5128589
06-10-21,1596,1626.849976,1587,1614.900024,1596.339355,9300415
07-10-21,1626.599976,1627.699951,1607,1610.5,1591.989868,5632862
08-10-21,1612,1622,1600.150024,1602.650024,1584.230103,3622781
11-10-21,1599.900024,1645,1599,1633.800049,1615.022217,6540424
12-10-21,1625,1641.550049,1625,1629.599976,1610.870361,4088473
13-10-21,1637,1648,1630,1639.400024,1620.557739,3112822
14-10-21,1638,1690,1638,1687.400024,1668.006104,7378644
18-10-21,1705,1725,1667.050049,1670.300049,1651.102661,14428228
19-10-21,1675.449951,1692.449951,1671,1688.699951,1669.291016,4493770
20-10-21,1689.099976,1698.75,1664.449951,1673.849976,1654.611816,5454284
21-10-21,1671.800049,1681.949951,1660.849976,1676.300049,1657.033691,4869095
22-10-21,1680.099976,1708,1670.75,1680.75,1661.432495,6087777
25-10-21,1690,1690,1613.800049,1657,1637.955444,8213383
26-10-21,1650,1673.849976,1646.349976,1652.75,1633.754272,6045328
27-10-21,1652.75,1665.050049,1637.300049,1642.800049,1623.918701,6624821
28-10-21,1650,1650,1587.150024,1593.599976,1575.284058,8898875
29-10-21,1590,1602,1560,1582.849976,1564.657715,6203437
01-11-21,1585,1611,1583.550049,1605.300049,1586.849731,4061160
02-11-21,1606,1622,1600.050049,1606.75,1588.282959,6618861
03-11-21,1605.099976,1609.900024,1575.550049,1581.449951,1563.273682,5103669
04-11-21,1595,1597.849976,1590.099976,1593.949951,1575.630127,548404
08-11-21,1592.099976,1604.699951,1570.449951,1600.25,1581.857666,9471790
09-11-21,1594.599976,1594.599976,1569.050049,1572.25,1554.179565,6347738
10-11-21,1568,1569,1550,1555.25,1537.374878,6857063
11-11-21,1550.050049,1554.900024,1535.599976,1548.300049,1530.504883,3999702
12-11-21,1550,1559.050049,1545.050049,1553,1535.150757,7457046
15-11-21,1562.099976,1571.849976,1554.400024,1557.25,1539.351929,4766797
16-11-21,1555,1557.199951,1541.599976,1548,1530.208252,4122703
17-11-21,1536.900024,1544,1528.5,1530.800049,1513.205933,3799439
18-11-21,1526.050049,1543.5,1525.25,1539.400024,1521.707153,4576437
22-11-21,1546,1552.699951,1499.050049,1515.349976,1497.933472,7630636
23-11-21,1502,1527.800049,1496.349976,1515.550049,1498.131226,5617607
24-11-21,1524,1536.349976,1514.050049,1518.050049,1500.602539,15401143
25-11-21,1514.800049,1533.300049,1507,1525.949951,1508.411621,5125826
26-11-21,1500,1506.699951,1485,1489.900024,1472.776001,9312468
29-11-21,1494.800049,1507.650024,1462,1501.25,1483.995605,6495498
30-11-21,1495,1529,1486.550049,1493.550049,1476.384155,12610771
01-12-21,1495,1507.050049,1489.099976,1504.650024,1487.356445,4338817
02-12-21,1504.5,1528.800049,1500,1525.75,1508.213989,5601555
03-12-21,1525.800049,1535.949951,1507.050049,1513.550049,1496.154175,4062347
06-12-21,1513,1518.800049,1497.349976,1503.800049,1486.516235,3514766
07-12-21,1513.949951,1532,1509.900024,1525.699951,1508.164551,6213767
08-12-21,1536,1555.050049,1534,1553.800049,1535.94165,7647767
09-12-21,1545.199951,1554.699951,1522,1526.849976,1509.30127,5873872
10-12-21,1524.900024,1528,1508.449951,1522.550049,1505.050781,3889692
13-12-21,1526,1537.650024,1507.199951,1511.150024,1493.781738,5161071
14-12-21,1502.5,1516,1497.050049,1502.449951,1485.181763,4595550
15-12-21,1503,1523.349976,1495.650024,1500,1482.759888,5057574
16-12-21,1512.800049,1517,1494,1500.099976,1482.858765,6605216
17-12-21,1497,1506,1467.699951,1473.050049,1456.119751,7497384
20-12-21,1452,1458,1414.099976,1425.650024,1409.264526,10578334
21-12-21,1439.5,1450.75,1430,1441.800049,1425.228882,4559375
